v4_0,mmm-yy,Time,uk-only,Geography,sic-unofficial,UnofficialStandardIndustrialClassification
101.2226,Jun-25,Jun-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
103.953,Jun-25,Jun-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
104.4127,Jun-25,Jun-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
101.3152,Jun-25,Jun-25,K02000001,United Kingdom,S,S : Other Service Activities
100.4185,Jun-25,Jun-25,K02000001,United Kingdom,C,C : Manufacturing
94.0161,Jun-25,Jun-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
102.3879,Jun-25,Jun-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
103.5878,Jun-25,Jun-25,K02000001,United Kingdom,A,A : Agriculture
101.5826,Jun-25,Jun-25,K02000001,United Kingdom,F,F : Construction
106.9684,Jun-25,Jun-25,K02000001,United Kingdom,H,H : Transportation and storage
100.5203,Jun-25,Jun-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
101.6539,Jun-25,Jun-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
97.3836,Jun-25,Jun-25,K02000001,United Kingdom,K,K : Financial and insurance activities
100.9781,Jun-25,Jun-25,K02000001,United Kingdom,L,L : Real estate activities
103.9063,Jun-25,Jun-25,K02000001,United Kingdom,N,N : Administrative and support service activities
87.3596,Jun-25,Jun-25,K02000001,United Kingdom,B,B : Mining and quarrying
97.4647,May-25,May-25,K02000001,United Kingdom,B--E,B-E : Production Industries
87.3667,May-25,May-25,K02000001,United Kingdom,B,B : Mining and quarrying
99.3709,May-25,May-25,K02000001,United Kingdom,C,C : Manufacturing
104.4061,May-25,May-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
108.0559,May-25,May-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
96.5005,May-25,May-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
99.6242,May-25,May-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
104.2917,May-25,May-25,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
106.532,May-25,May-25,K02000001,United Kingdom,O,O : Public administration and defence
104.0892,May-25,May-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.0323,May-25,May-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
100.8568,May-25,May-25,K02000001,United Kingdom,L,L : Real estate activities
101.7088,May-25,May-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
